           6
   104.171310    
   104.601578    
   104.849945    
   120.358749    
   121.142197    
   121.768318    
 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
  108.5721    4.0000    4.9918    4.9692    3.0704    1.7665    3.6476    0.9397  4.0295E+00     -0.2520  4.3133E+00
  108.7271    4.0000    4.9918    4.9687    3.0668    1.7641    3.6479    0.9430  4.0258E+00     -0.2520  4.3680E+00
  108.8822    4.0000    4.9918    4.9683    3.0639    1.7621    3.6482    0.9462  4.0221E+00     -0.2520  4.4139E+00
  109.0373    4.0000    4.9918    4.9679    3.0616    1.7605    3.6484    0.9495  4.0184E+00     -0.2520  4.4517E+00
  109.1924    4.0000    4.9918    4.9675    3.0597    1.7592    3.6486    0.9527  4.0148E+00     -0.2520  4.4822E+00
  109.3475    4.0000    4.9918    4.9671    3.0583    1.7582    3.6487    0.9560  4.0111E+00     -0.2520  4.5059E+00
  109.5026    4.0000    4.9918    4.9667    3.0573    1.7575    3.6488    0.9592  4.0075E+00     -0.2520  4.5238E+00
  109.6577    4.0000    4.9918    4.9663    3.0566    1.7571    3.6489    0.9625  4.0038E+00     -0.2520  4.5368E+00
  109.8128    4.0000    4.9918    4.9658    3.0561    1.7568    3.6489    0.9657  4.0001E+00     -0.2520  4.5456E+00
  109.9678    4.0000    4.9918    4.9654    3.0559    1.7566    3.6489    0.9690  3.9965E+00     -0.2520  4.5513E+00
  110.1229    4.0000    4.9918    4.9650    3.0558    1.7565    3.6489    0.9722  3.9928E+00     -0.2520  4.5548E+00
  110.2780    4.0000    4.9918    4.9646    3.0557    1.7565    3.6489    0.9755  3.9892E+00     -0.2520  4.5569E+00
  110.4331    4.0000    4.9918    4.9642    3.0580    1.7565    3.6495    0.9787  3.7560E+00     -0.2520  4.6977E+00
  110.5882    4.0000    4.9918    4.9638    3.0620    1.7566    3.6505    0.9820  3.3935E+00     -0.2520  4.9436E+00
  110.7433    4.0000    4.9918    4.9634    3.0659    1.7566    3.6515    0.9852  3.0639E+00     -0.2520  5.2018E+00
  110.8984    4.0000    4.9918    4.9630    3.0699    1.7566    3.6524    0.9885  2.7645E+00     -0.2520  5.4722E+00
  111.0535    4.0000    4.9918    4.9626    3.0738    1.7567    3.6534    0.9917  2.4932E+00     -0.2520  5.7548E+00
  111.2085    4.0000    4.9918    4.9621    3.0778    1.7567    3.6544    0.9950  2.2476E+00     -0.2520  6.0495E+00
  111.3636    4.0000    4.9918    4.9617    3.0818    1.7568    3.6553    0.9982  2.0256E+00     -0.2520  6.3560E+00
  111.5187    4.0000    4.9918    4.9613    3.0857    1.7569    3.6562    1.0015  1.8253E+00     -0.2520  6.6738E+00
  111.6738    4.0000    4.9918    4.9609    3.0897    1.7571    3.6572    1.0047  1.6448E+00     -0.2520  7.0022E+00
  111.8289    4.0000    4.9918    4.9604    3.0937    1.7572    3.6581    1.0080  1.4824E+00     -0.2520  7.3405E+00
  111.9840    4.0000    4.9918    4.9600    3.0977    1.7575    3.6590    1.0112  1.3365E+00     -0.2520  7.6876E+00
  112.1391    4.0000    4.9918    4.9595    3.1017    1.7577    3.6598    1.0145  1.2055E+00     -0.2520  8.0425E+00
  112.2942    4.0000    4.9918    4.9591    3.1057    1.7580    3.6607    1.0177  1.0880E+00     -0.2520  8.4036E+00
  112.4493    4.0000    4.9918    4.9586    3.1097    1.7583    3.6615    1.0210  9.8289E-01     -0.2520  8.7694E+00
  112.6043    4.0000    4.9918    4.9582    3.1137    1.7587    3.6623    1.0242  8.8887E-01     -0.2520  9.1381E+00
  112.7594    4.0000    4.9918    4.9577    3.1177    1.7592    3.6631    1.0275  8.0489E-01     -0.2520  9.5076E+00
  112.9145    4.0000    4.9918    4.9572    3.1217    1.7597    3.6638    1.0307  7.2996E-01     -0.2520  9.8758E+00
  113.0696    4.0000    4.9918    4.9567    3.1257    1.7603    3.6645    1.0340  6.6319E-01     -0.2520  1.0240E+01
  113.2247    4.0000    4.9918    4.9563    3.1297    1.7609    3.6652    1.0372  6.0375E-01     -0.2520  1.0599E+01
  113.3798    4.0000    4.9918    4.9558    3.1337    1.7617    3.6659    1.0405  5.5091E-01     -0.2520  1.0948E+01
  113.5349    4.0000    4.9918    4.9553    3.1377    1.7625    3.6665    1.0437  5.0400E-01     -0.2520  1.1286E+01
  113.6900    4.0000    4.9918    4.9548    3.1417    1.7633    3.6670    1.0470  4.6241E-01     -0.2520  1.1609E+01
  113.8450    4.0000    4.9918    4.9543    3.1457    1.7643    3.6676    1.0502  4.2562E-01     -0.2520  1.1915E+01
  114.0001    4.0000    4.9918    4.9538    3.1498    1.7653    3.6680    1.0535  3.9313E-01     -0.2520  1.2201E+01
  114.1552    4.0000    4.9918    4.9533    3.1538    1.7665    3.6685    1.0567  3.6451E-01     -0.2520  1.2464E+01
  114.3103    4.0000    4.9918    4.9527    3.1578    1.7677    3.6689    1.0600  3.3939E-01     -0.2520  1.2702E+01
  114.4654    4.0000    4.9918    4.9522    3.1618    1.7690    3.6692    1.0632  3.1742E-01     -0.2520  1.2911E+01
  114.6205    4.0000    4.9918    4.9517    3.1658    1.7705    3.6695    1.0665  2.9830E-01     -0.2520  1.3090E+01
  114.7756    4.0000    4.9918    4.9511    3.1698    1.7720    3.6697    1.0697  2.8179E-01     -0.2520  1.3237E+01
