pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,pl_facility
EPIC 248847494,b,EPIC 248847494 b,Transit,3650,1280,-1130,0,4.5,1,-1,0,0,,,0,560,13,-13,0,12.172,,0,K2
EPIC 249893012,b,EPIC 249893012 b,Transit,3.5951,0.0003,-0.0003,0,0.047,0.005,-0.007,0,0.06,0.08,-0.04,0,324.22,4.18,-4.18,0,11.402,,0,K2
EPIC 249893012,c,EPIC 249893012 c,Transit,15.624,0.001,-0.001,0,0.13,0.01,-0.02,0,0.07,0.08,-0.05,0,324.22,4.18,-4.18,0,11.402,,0,K2
EPIC 249893012,d,EPIC 249893012 d,Transit,35.747,0.005,-0.005,0,0.22,0.02,-0.04,0,0.15,0.21,-0.11,0,324.22,4.18,-4.18,0,11.402,,0,K2
FU Tau,b,FU Tau b,Imaging,,,,,800,,,0,,,,,140,,,0,20.48,,0,Spitzer Space Telescope
Fomalhaut,b,Fomalhaut b,Imaging,555530,184690,-353320,0,160,33,-79,0,0.87,0.11,-0.05,0,7.7,,,0,,,,Hubble Space Telescope
G 9-40,b,G 9-40 b,Transit,5.746007,0.000006,-0.000006,0,0.0385,0.0078,-0.0053,0,0,,,0,27.93,0.04,-0.04,0,12.733,,0,K2
GJ 1061,b,GJ 1061 b,Radial Velocity,3.204,0.001,-0.001,0,0.021,0.001,-0.001,0,0.31,,,1,3.67,0,0,0,10.989,,0,La Silla Observatory
GJ 1061,c,GJ 1061 c,Radial Velocity,6.689,0.005,-0.005,0,0.035,0.001,-0.001,0,0.29,,,1,3.67,0,0,0,10.989,,0,La Silla Observatory
GJ 1061,d,GJ 1061 d,Radial Velocity,13.031,0.025,-0.032,0,0.054,0.001,-0.001,0,0.53,,,1,3.67,0,0,0,10.989,,0,La Silla Observatory
GJ 1132,b,GJ 1132 b,Transit,1.628931,0.000027,-0.000027,0,0.0153,0.0005,-0.0005,0,0.22,,,1,12.62,0.01,-0.01,0,12.138,,0,Cerro Tololo Inter-American Observatory
GJ 1132,c,GJ 1132 c,Radial Velocity,8.929,0.01,-0.01,0,0.0476,0.0017,-0.0017,0,0.27,,,1,12.62,0.01,-0.01,0,12.138,,0,La Silla Observatory
GJ 1148,b,GJ 1148 b,Radial Velocity,41.38,0.002,-0.001,0,0.166,0.001,-0.001,0,0.38,0.01,-0.012,0,11.02,0.01,-0.01,0,10.577,,0,W. M. Keck Observatory
GJ 1148,c,GJ 1148 c,Radial Velocity,532.58,4.14,-2.52,0,0.912,0.005,-0.002,0,0.342,0.05,-0.062,0,11.02,0.01,-0.01,0,10.577,,0,Calar Alto Observatory
