pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_cbflag,pl_facility
GJ 667 C,b,GJ 667 C b,Radial Velocity,0.0505,0.0044,-0.0053,0,0.13,0.1,-0.11,0,0,La Silla Observatory
GJ 667 C,c,GJ 667 C c,Radial Velocity,0.125,0.012,-0.013,0,0.02,0.15,-0.02,0,0,La Silla Observatory
GJ 667 C,e,GJ 667 C e,Radial Velocity,0.213,0.019,-0.022,0,0.02,0.22,-0.02,0,0,La Silla Observatory
GJ 667 C,f,GJ 667 C f,Radial Velocity,0.156,0.014,-0.017,0,0.03,0.16,-0.03,0,0,La Silla Observatory
GJ 667 C,g,GJ 667 C g,Radial Velocity,0.549,0.052,-0.058,0,0.08,0.41,-0.08,0,0,La Silla Observatory
GJ 674,b,GJ 674 b,Radial Velocity,0.039,,,0,0.2,0.02,-0.02,0,0,La Silla Observatory
GJ 676 A,b,GJ 676 A b,Radial Velocity,1.82,0.06,-0.06,0,0.33,0.01,-0.01,0,0,La Silla Observatory
GJ 676 A,c,GJ 676 A c,Radial Velocity,6.6,0.1,-0.1,0,,,,,0,Paranal Observatory
GJ 676 A,d,GJ 676 A d,Radial Velocity,,,,,0.262,0.09,-0.101,0,0,La Silla Observatory
GJ 676 A,e,GJ 676 A e,Radial Velocity,,,,,0.125,0.119,-0.087,0,0,La Silla Observatory
GJ 682,b,GJ 682 b,Radial Velocity,0.08,0.014,-0.004,0,0.08,0.19,-0.08,0,0,Multiple Observatories
GJ 682,c,GJ 682 c,Radial Velocity,0.176,0.03,-0.009,0,0.1,0.19,-0.1,0,0,Multiple Observatories
GJ 685,b,GJ 685 b,Radial Velocity,0.1344,0.0052,-0.0051,0,0,,,0,0,Qatar
