Companion,alpha(deg),delta(deg),MG(mag),sep(au),mass(Msun),Teff(K),Flags
Kepler-560 A,300.2222468,45.01609198,8.870+0.260,4436,0.506+0.029,3700+89, PRI 2MA BPRP
HD 190360 B,300.8641362,29.86427188,11.161+0.153,2851,0.228+0.033,3305+51,  PRI 2MA BPRP
WASP-68 B,305.0990626,−19.31653780487,9.378+0.428,2981,0.442+0.062,3589+106, 2MA BPRP
HD 195019 B,307.0788057,18.77009632,7.075+0.214,128, 0.697+0.033,4418+151,
HD 195689 B,307.863806,39.93695507,11.670+0.140,2650,0.185+0.021,3226+45, 2MA BPRP
HD 196050 BC,309.4643617,−60.63774347027,9.962+0.137,547, 0.365+0.039,3484+43,  PRI 2MA BPRP
HD 197037 B,309.8869193,42.24656831,9.691+0.238,123, 0.402+0.003,3524+6,PRI BPRP
HD 196067 B,310.442442,−75.34713951044,3.650+0.209,665, 1.143+0.027,6072+65,  extra PRI 2MA BPRP
WASP-94 B,313.7882932,−34.13572402987,3.398+0.126,3200,1.181+0.020,6162+47, extra PRI 2MA BPRP
18 Del B,314.6058747,10.83125021,11.495+0.239,2233,0.197+0.008,3254+14, PRI 2MA BPRP
WASP-70 B,315.4773853,−13.43423954121,6.315+0.204,707, 0.781+0.018,4807+83,  PRI BPRP
HD 202772 B,319.6992194,−26.61622644998,3.768+0.033,211, 1.125+0.005,6030+12,  extra
WASP-145 B,322.2535107,−58.83471749329,8.092+0.106,473, 0.591+0.008,3956+24, PRI 2MA BPRP
HD 204941 B,323.0861421,−20.97003482993,7.934+0.313,1611,0.607+0.035,4017+155,PRI 2MA BPRP
WASP-114 B,327.6643837,10.4634233,7.079+0.407,2633,0.697+0.033,4416+153,PRI 2MA BPRP
WASP-111 B,328.769228,−22.61284619200,6.520+0.153,1511,0.758+0.033,4701+153, PRI 2MA BPRP
HIP 109600 B,333.0296649,29.06271028,9.635+0.053,996, 0.409+0.003,3536+5,PRI 2MA BPRP
HD 212301 B,336.8747028,−77.71818978501,10.210+0.122,238, 0.330+0.013,3448+13, PRI 2MA BPRP
HD 213240 B,337.7834637,−49.44991157605,12.281+0.205,3913,0.149+0.009,3125+28, PRI 2MA BPRP
HD 214823 B,340.0853579,31.787323,7.553+0.323,673, 0.647+0.022,4195+100, PRI 2MA BPRP
HD 215456 B,341.5153615,−48.97310513387,10.039+0.213,2011,0.354+0.003,3473+4,PRI 2MA BPRP
WASP-75 B,342.3777592,−10.67801381450,10.816+0.139,8958,0.262+0.017,3357+27,  2MA BPRP
HAT-P-1 A,344.441515,38.67404106,3.066+0.174,1800,1.230+0.041,6280+96, extra PRI 2MA BPRP
HD 220842 B,351.6555873,56.88799087,12.355+0.324,340, 0.146+0.010,3113+36, PRI BPRP
HIP 116454 B,353.9524284,0.443398084, 12.911+0.193,524, 0.125+0.003,3016+18,  WD PRI BPRP
WASP-173 B,354.1706342,−34.61189286728,4.996+0.068,1436,0.947+0.017,5518+67,  PRI 2MA BPRP
WASP-8 B,359.9011145,−35.03257217625,8.621+0.871,407, 0.533+0.010,3782+31,  PRI 2MA BPRP
